acousticness;danceability;duration_ms;energy;instrumentalness;loudness;speechiness;tempo;key;popularity
0.72;0.32;260907.00;0.43;0.00;-7.07;0.03;123.42;6;nivel 8
0.01;0.51;230613.00;0.45;0.01;-7.55;0.04;156.91;4;nivel 8
0.00;0.76;248036.00;0.96;0.70;-5.84;0.06;125.00;2;nivel 8
0.64;0.66;191027.00;0.48;0.00;-8.83;0.04;143.18;1;nivel 8
0.72;0.82;123874.67;0.52;0.00;-6.84;0.37;130.85;4;nivel 8
0.32;0.67;231429.00;0.40;0.00;-9.14;0.03;125.98;9;nivel 8
0.02;0.64;219043.00;0.82;0.00;-5.10;0.06;123.06;5;nivel 8
0.01;0.77;202627.00;0.87;0.00;-6.38;0.14;126.99;11;nivel 8
0.12;0.70;190302.00;0.87;0.00;-5.90;0.07;125.03;10;nivel 8
0.50;0.64;217236.25;0.48;0.00;-6.50;0.08;111.35;10;nivel 8
0.11;0.76;198040.00;0.54;0.00;-5.61;0.12;138.97;8;nivel 8
0.33;0.89;144000.00;0.69;0.00;-6.43;0.06;99.95;11;nivel 8
0.27;0.54;238180.23;0.59;0.02;-6.39;0.04;114.69;5;nivel 8
0.68;0.03;165861.00;0.17;1.00;-31.64;0.05;29.11;10;nivel 8
0.24;0.66;199027.00;0.75;0.00;-2.97;0.06;128.91;9;nivel 8
0.93;0.45;315427.00;0.45;0.96;-10.63;0.04;92.47;2;nivel 8
0.01;0.81;191242.00;0.91;0.00;-4.41;0.06;122.04;6;nivel 8
0.01;0.76;169312.67;0.78;0.00;-4.68;0.05;123.14;8;nivel 8
0.22;0.77;192452.00;0.64;0.00;-5.23;0.10;169.99;5;nivel 8
0.03;0.89;177184.00;0.43;0.00;-10.03;0.15;108.03;6;nivel 8
0.07;0.72;208440.00;0.62;0.00;-5.13;0.23;131.10;7;nivel 8
0.06;0.74;135581.00;0.69;0.00;-4.36;0.09;115.04;5;nivel 8
0.65;0.58;217058.50;0.39;0.00;-8.62;0.06;80.60;1;nivel 8
0.16;0.80;140012.00;0.66;0.02;-4.90;0.16;117.92;0;nivel 8
0.04;0.43;250286.00;0.78;0.00;-4.04;0.06;139.43;4;nivel 8
0.01;0.61;204094.00;0.78;0.00;-4.47;0.06;156.03;7;nivel 8
0.39;0.51;219861.74;0.61;0.00;-6.27;0.06;120.76;6;nivel 8
0.71;0.75;185353.17;0.28;0.00;-10.66;0.07;105.97;9;nivel 8
0.01;0.51;210580.00;0.77;0.00;-4.87;0.06;84.26;4;nivel 8
0.27;0.66;164010.00;0.62;0.00;-5.87;0.06;119.84;11;nivel 8
0.15;0.67;189457.91;0.62;0.00;-6.31;0.15;133.88;1;nivel 8
0.02;0.64;192478.25;0.76;0.00;-4.79;0.05;155.51;7;nivel 8
0.20;0.66;192347.00;0.72;0.00;-5.61;0.05;136.96;7;nivel 8
0.11;0.40;339067.00;0.53;0.00;-6.74;0.09;81.40;9;nivel 8
0.00;0.47;254262.33;0.77;0.02;-8.02;0.14;155.89;11;nivel 8
0.19;0.84;329224.00;0.75;0.00;-5.02;0.15;97.52;2;nivel 9
0.02;0.65;199125.00;0.63;0.00;-5.88;0.04;160.01;5;nivel 8
0.59;0.86;244973.00;0.50;0.00;-7.04;0.04;129.06;0;nivel 8
0.75;0.60;157216.00;0.22;0.08;-16.76;0.08;117.24;2;nivel 8
0.39;0.72;194750.00;0.59;0.00;-7.13;0.10;136.00;6;nivel 8
0.06;0.74;236684.33;0.73;0.02;-8.70;0.03;119.95;10;nivel 8
0.10;0.43;268105.00;0.72;0.00;-6.13;0.04;174.01;5;nivel 8
0.02;0.59;196849.18;0.73;0.00;-5.25;0.07;157.16;10;nivel 8
0.18;0.63;199919.00;0.61;0.00;-6.84;0.04;123.23;7;nivel 8
0.52;0.64;334486.25;0.61;0.00;-6.59;0.20;125.99;11;nivel 8
0.38;0.63;226187.00;0.43;0.00;-12.96;0.04;93.04;9;nivel 8
0.23;0.70;161378.00;0.59;0.00;-7.20;0.09;97.41;0;nivel 8
0.24;0.71;139202.69;0.61;0.00;-6.85;0.19;151.22;7;nivel 8
0.30;0.67;194025.46;0.57;0.00;-8.14;0.25;128.61;1;nivel 8
0.07;0.62;160533.40;0.62;0.00;-7.26;0.06;148.19;11;nivel 8
0.43;0.82;187173.00;0.43;0.00;-9.19;0.12;120.01;10;nivel 8
0.05;0.75;170933.00;0.78;0.00;-5.75;0.14;95.99;0;nivel 8
0.42;0.28;207787.00;0.39;0.00;-8.90;0.03;86.78;8;nivel 8
0.57;0.69;176905.75;0.58;0.00;-4.55;0.09;112.22;5;nivel 8
0.10;0.62;220293.00;0.81;0.00;-6.75;0.41;174.06;5;nivel 8
0.08;0.40;198773.00;0.92;0.00;-4.89;0.28;88.92;0;nivel 8
0.21;0.82;300703.67;0.69;0.00;-4.40;0.07;93.34;2;nivel 8
0.51;0.69;202040.00;0.64;0.00;-6.44;0.37;138.67;0;nivel 8
0.08;0.73;217368.67;0.74;0.01;-7.62;0.03;119.93;10;nivel 8
0.04;0.78;195307.00;0.73;0.00;-4.58;0.14;138.03;3;nivel 8
0.44;0.88;197217.00;0.31;0.00;-10.17;0.05;114.97;7;nivel 8
