acousticness;danceability;duration_ms;energy;instrumentalness;loudness;speechiness;tempo;key;popularity
0,27;0,54;238180,23;0,59;0,02;-6,39;0,04;114,69;5;77,38
0,68;0,03;165861;0,17;1;-31,64;0,05;29,11;10;74,5
0,24;0,66;199027;0,75;0;-2,97;0,06;128,91;9;78
0,93;0,45;315427;0,45;0,96;-10,63;0,04;92,47;2;76
0,01;0,81;191242;0,91;0;-4,41;0,06;122,04;6;77
0,01;0,76;169312,67;0,78;0;-4,68;0,05;123,14;8;74
0,22;0,77;192452;0,64;0;-5,23;0,1;169,99;5;77
0,03;0,89;177184;0,43;0;-10,03;0,15;108,03;6;77
0,07;0,72;208440;0,62;0;-5,13;0,23;131,1;7;77,25
0,06;0,74;135581;0,69;0;-4,36;0,09;115,04;5;76
0,65;0,58;217058,5;0,39;0;-8,62;0,06;80,6;1;75,5
0,16;0,8;140012;0,66;0,02;-4,9;0,16;117,92;0;74
0,04;0,43;250286;0,78;0;-4,04;0,06;139,43;4;74
0,01;0,61;204094;0,78;0;-4,47;0,06;156,03;7;77,5
0,39;0,51;219861,74;0,61;0;-6,27;0,06;120,76;6;77,89
0,71;0,75;185353,17;0,28;0;-10,66;0,07;105,97;9;78
0,01;0,51;210580;0,77;0;-4,87;0,06;84,26;4;74
0,27;0,66;164010;0,62;0;-5,87;0,06;119,84;11;76
0,15;0,67;189457,91;0,62;0;-6,31;0,15;133,88;1;74,9
0,02;0,64;192478,25;0,76;0;-4,79;0,05;155,51;7;76,75
0,2;0,66;192347;0,72;0;-5,61;0,05;136,96;7;78
0,11;0,4;339067;0,53;0;-6,74;0,09;81,4;9;76
0;0,47;254262,33;0,77;0,02;-8,02;0,14;155,89;11;74,33
0,19;0,84;329224;0,75;0;-5,02;0,15;97,52;2;82
0,02;0,65;199125;0,63;0;-5,88;0,04;160,01;5;76
0,59;0,86;244973;0,5;0;-7,04;0,04;129,06;0;75
0,75;0,6;157216;0,22;0,08;-16,76;0,08;117,24;2;77
0,39;0,72;194750;0,59;0;-7,13;0,1;136;6;77
0,06;0,74;236684,33;0,73;0,02;-8,7;0,03;119,95;10;75,33
0,1;0,43;268105;0,72;0;-6,13;0,04;174,01;5;74
0,02;0,59;196849,18;0,73;0;-5,25;0,07;157,16;10;76,55
0,18;0,63;199919;0,61;0;-6,84;0,04;123,23;7;74,2
0,52;0,64;334486,25;0,61;0;-6,59;0,2;125,99;11;78,5
0,38;0,63;226187;0,43;0;-12,96;0,04;93,04;9;75
0,23;0,7;161378;0,59;0;-7,2;0,09;97,41;0;76,23
0,24;0,71;139202,69;0,61;0;-6,85;0,19;151,22;7;75
0,3;0,67;194025,46;0,57;0;-8,14;0,25;128,61;1;75,54
0,07;0,62;160533,4;0,62;0;-7,26;0,06;148,19;11;74
0,43;0,82;187173;0,43;0;-9,19;0,12;120,01;10;74
0,05;0,75;170933;0,78;0;-5,75;0,14;95,99;0;76
0,42;0,28;207787;0,39;0;-8,9;0,03;86,78;8;76
0,57;0,69;176905,75;0,58;0;-4,55;0,09;112,22;5;74,25
0,1;0,62;220293;0,81;0;-6,75;0,41;174,06;5;75
0,08;0,4;198773;0,92;0;-4,89;0,28;88,92;0;75
0,21;0,82;300703,67;0,69;0;-4,4;0,07;93,34;2;77,33
0,51;0,69;202040;0,64;0;-6,44;0,37;138,67;0;74
0,08;0,73;217368,67;0,74;0,01;-7,62;0,03;119,93;10;77,67
0,04;0,78;195307;0,73;0;-4,58;0,14;138,03;3;75
0,44;0,88;197217;0,31;0;-10,17;0,05;114,97;7;76
0,14;0,82;144009;0,56;0;-11,32;0,33;126,55;7;74,5
0,02;0,46;192881;0,66;0;-5,94;0,1;176,79;8;75
0,13;0,63;277107;0,68;0;-7,13;0,21;79,31;5;75
0;0,73;124337,5;0,72;0,01;-4,26;0,12;155,52;1;75
0,37;0,33;218755;0,45;0;-5,36;0,03;123,83;10;78
0,09;0,62;244707;0,53;0;-11,52;0,07;158,86;3;74
0,04;0,88;231848;0,78;0;-4,25;0,12;102,02;1;78
0,03;0,62;228980;0,86;0;-4,33;0,11;98,06;5;76
0,7;0,48;141395;0,75;0,86;-4,18;0,07;160,01;1;76
0,13;0,55;232496;0,6;0;-5,4;0,08;83,84;11;78
0,08;0,9;223944;0,67;0;-6,55;0,31;119,97;4;74
0,15;0,63;192160;0,76;0,01;-5;0,13;88,75;8;74
0,09;0,93;179405;0,39;0;-9,13;0,41;125,98;1;74
0,25;0,79;240126,21;0,69;0;-4,83;0,11;117,59;11;74,79
0,08;0,69;224089,5;0,83;0;-5,91;0,19;107,46;1;74
0,27;0,66;164010;0,62;0;-5,87;0,06;119,84;11;76
0,41;0,68;186878;0,7;0;-5,59;0,04;120,03;6;82
0,13;0,79;214707;0,65;0;-5,88;0,04;138,05;5;74
0,19;0,68;188858;0,69;0;-5,7;0,07;139,29;6;76,33
0,19;0,87;161668;0,56;0;-6,96;0,11;127,95;11;82
0,35;0,46;202002,75;0,44;0;-7,15;0,04;102,09;0;82,25
0,11;0,86;260545;0,67;0;-5,95;0,28;164,06;6;82
0,74;0,52;124000;0,36;0;-12,02;0,42;79,51;8;76
0,64;0,68;173360,67;0,31;0;-10,31;0,04;100,36;6;75,67
0,26;0,83;80927;0,89;0;-1,75;0,11;115,06;8;76
0,15;0,76;184490;0,54;0;-8,26;0,38;146,93;8;76
0,53;0,74;160673,67;0,51;0;-7,64;0,27;101,65;6;76,33
0,08;0,59;174444;0,64;0;-3,87;0,12;107,36;7;74,5
0,43;0,62;194000;0,45;0;-11,97;0,52;179,76;7;76
0,39;0,6;200187;0,71;0;-4,1;0,3;75,09;11;76
0;0,62;196693;0,72;0;-5,74;0,32;190,05;7;76
0,03;0,89;177184;0,43;0;-10,03;0,15;108,03;6;77
0,23;0,64;185461;0,5;0;-6,15;0,19;103,99;0;75
0,31;0,8;159293;0,32;0;-11,13;0,31;87,02;0;77
0,44;0,83;121722;0,26;0;-12,62;0,07;118,01;9;76
0,03;0,66;205766;0,49;0,9;-7,99;0,03;139,91;6;76
0,27;0,74;192453;0,75;0;-4,82;0,03;105,94;10;75
0,45;0,75;172245;0,61;0;-7,03;0,1;149,97;0;78
0,11;0,86;260545;0,67;0;-5,95;0,28;164,06;6;82
0,15;0,65;123770,5;0,79;0,25;-9,77;0,11;122,5;7;76
0,06;0,72;205800;0,64;0;-5,02;0,08;150;5;77
0,17;0,6;174720;0,65;0;-6,98;0,13;89,73;7;78
0,13;0,79;214334;0,61;0;-4,95;0,17;134,53;7;75
0;0,45;90960;0,89;0;-4,78;0,08;143,98;9;78
0,23;0,81;134197;0,61;0;-8,38;0,1;120,07;10;77
0,65;0,74;155393,5;0,48;0;-9,04;0,55;78,36;6;76
0,02;0,78;196181;0,87;0;-4,61;0,28;119,96;8;74
0,59;0,6;149540;0,21;0;-18,36;0,24;131,44;1;77
0,03;0,89;177184;0,43;0;-10,03;0,15;108,03;6;77
0,09;0,71;166356;0,57;0;-7,86;0,05;130,02;5;78
0,08;0,75;178604,5;0,81;0;-3,74;0,16;132,5;7;76
0;0,67;215280;0,8;0,01;-5,7;0,03;133,93;11;78
0,03;0,92;165726;0,83;0;-3,18;0,25;141,03;1;77
0,32;0,56;204552,67;0,54;0;-5,23;0,39;112,33;1;75,33
0,11;0,86;260545;0,67;0;-5,95;0,28;164,06;6;82
0,23;0,8;182807;0,62;0;-6,21;0,05;132,71;6;74
0,04;0,91;150115;0,54;0;-7,78;0,36;124,92;4;77
0,01;0,71;209105;0,82;0;-4,36;0,08;112,01;3;77
0,55;0,61;176843,08;0,4;0;-8,95;0,06;111,25;0;77,46
0;0,48;278086,75;0,7;0,02;-8,61;0,11;143,92;7;74
0,15;0,67;155336,86;0,58;0;-6,49;0,12;116,9;9;77,95
0,2;0,68;202008;0,52;0;-6,37;0,05;120,07;0;82
0,16;0,56;203653;0,66;0;-6,08;0,03;80,53;0;75
0,02;0,46;192881;0,66;0;-5,94;0,1;176,79;8;75
0,13;0,43;211680;0,61;0;-5,12;0,04;169,99;4;75
0,01;0,65;198095;0,95;0,92;-2,63;0,1;126,09;5;75
0,11;0,86;260545;0,67;0;-5,95;0,28;164,06;6;82
0,12;0,76;165996;0,46;0;-7,76;0,04;119,22;10;78,5
0,06;0,51;201350;0,93;0;-4,69;0,05;122,04;6;75
0,41;0,55;219737;0,47;0;-6,36;0,04;93,07;3;75
0;0,5;189160;0,81;0,01;-4,07;0,03;79,94;7;74
0,44;0,74;204994,67;0,4;0;-8,83;0,15;124,04;5;75
0,16;0,78;230399;0,59;0;-8,07;0,2;177,02;11;77
0,66;0;85138,25;0,24;1;-26,22;0;0;8;76,5
0,65;0,66;244858,33;0,42;0,01;-13,19;0,08;114,94;7;76,67
0,02;0,68;162600;0,86;0;-4,37;0,04;149,98;10;76
0,01;0,57;185634,17;0,85;0;-3,86;0,06;119,16;7;75,33
0,02;0,57;180691;0,54;0;-6,09;0,03;75,01;2;74
0;0,89;170267;0,55;0;-6,88;0,22;135,98;1;76
0,23;0,77;252527,67;0,62;0;-7,01;0,15;126,03;10;74
0,13;0,72;198635;0,64;0;-6,59;0,08;112,89;7;75
0,24;0,27;269453;0,31;0;-11,69;0,06;54,75;7;75
0,9;0,66;121375;0,41;0;-10,86;0,16;90,19;0;76
0,73;0,63;166557,67;0,33;0,37;-11,36;0,08;134,27;7;74,67
0,84;0,71;218883;0,45;0;-9,64;0,03;102,96;1;77
0,2;0,56;191775,2;0,46;0,15;-12,67;0,04;145,56;7;76,2
0,16;0,71;153083,86;0,62;0;-5,78;0,05;104,32;7;75,55
0;0,67;204878;0,73;0;-5,81;0,04;123;7;74
0,95;0,76;185876;0,06;0,82;-24,69;0,06;114,98;7;74
0,01;0,6;206180;0,96;0;-2,89;0,05;135,03;8;77
0,07;0,81;277431,75;0,63;0;-7,19;0,22;114,02;1;39,63
0,24;0,77;258788;0,74;0;-5,97;0,25;133,28;7;63,67
0,08;0,61;216316,86;0,72;0;-4,89;0,08;113,01;7;63,17
0;0,51;155515,75;0,97;0,69;-5,93;0,07;133,12;7;10,63
0,94;0,7;150302,25;0,34;0,89;-17,62;0,07;114,02;4;0,63
0,1;0,39;241339,88;0,78;0;-6,77;0,07;125,06;0;30,63
1;0,38;296480;0,01;0,94;-31,62;0,06;71,83;5;63
0,2;0,7;243840;0,67;0,01;-7,29;0,23;129,26;5;63,61
0,22;0,62;146159,78;0,49;0;-7,78;0,16;149,07;1;63,67
0,39;0,82;173594;0,45;0;-10,18;0,46;88,57;9;63
0,63;0,7;200484,5;0,47;0;-5,07;0,04;121,01;7;63
0,03;0,57;209540;0,87;0;-4,43;0,03;130,04;2;63
0,48;0,7;264773;0,49;0;-9,45;0,03;117,91;9;63
0,18;0,4;245933;0,57;0;-5,07;0,03;147,01;0;63
0,02;0,45;210084;0,86;0;-2,35;0,04;139,06;6;63
0,99;0,37;100872;0,08;0,98;-31,92;0,04;82,29;3;63
0,01;0,51;259520;0,84;0;-4,97;0,06;139,96;11;63
0,49;0,77;167578,38;0,61;0,1;-7,64;0,14;139,72;0;40,63
0,58;0,51;229747;0,63;0;-5,76;0,03;85,04;7;63
0,76;0,51;226986;0,36;0,02;-13,44;0,03;74,88;10;63
0,28;0,5;262991,58;0,5;0,09;-12,34;0,06;120,32;7;37,63
0,42;0,43;362451,5;0,43;0,02;-10,7;0,05;167,94;4;31,63
0,58;0,51;255737,47;0,47;0,04;-11,38;0,06;125,86;7;30,63
0,4;0,61;142646,63;0,51;0;-11,46;0,06;130,92;7;35,63
0,09;0,61;204989,6;0,77;0;-4,41;0,05;129,71;7;63,3
0,91;0,28;553890,78;0,15;0,53;-18,79;0,07;101,3;5;0,63
0,09;0,76;221232,31;0,47;0,37;-11,26;0,12;124,71;1;31,63
0,8;0,55;191575,75;0,34;0,01;-12,42;0,04;111,56;4;63,5
0,84;0,44;170787;0,3;0;-10,84;0,04;139,48;3;63
0,98;0,54;160585,63;0,33;0,93;-15,74;0,06;107,32;1;0,63
0,17;0,73;261591,75;0,65;0;-6,33;0,13;99,32;6;56,63
0,25;0,68;226979,13;0,54;0;-7,88;0,24;112,38;1;63,02
0,13;0,61;193159,7;0,73;0;-5,72;0,04;113,93;2;63,6
0,21;0,6;194661;0,53;0;-6,7;0,06;137,06;6;63,57
0,1;0,49;255680;0,37;0;-9,76;0,26;121,89;8;63
0,01;0,66;237400;0,82;0;-5,83;0,07;112,94;0;63
0,18;0,61;275938,38;0,63;0;-5,37;0,05;96,28;2;52,63
0,31;0,62;268187;0,87;0;-5,87;0,03;111,14;5;63
0,27;0,46;271532,35;0,55;0,12;-8,25;0,03;129,15;5;63,9
0,25;0,64;177627;0,46;0;-7,34;0,02;96,06;7;63
0,02;0,44;180020;0,86;0;-4,86;0,07;161,56;3;63,5
0,72;0,63;247467,43;0,51;0,58;-14,15;0,04;138,97;9;63,86
0;0,57;233600;0,95;0;-5,6;0,05;137,97;8;63
0;0,57;233600;0,95;0;-5,6;0,05;137,97;8;63
0,01;0,5;325967,75;0,95;0,05;-3,75;0,07;149,99;0;18,63
0,6;0,31;214369;0,31;0;-10,37;0,03;207,51;11;63
0,02;0,57;234400;0,85;0;-4,78;0,17;92,87;7;63,4
0,02;0,87;180114;0,7;0;-6,17;0,4;96,05;11;63
0,02;0,55;181868;0,69;0;-6,4;0,03;79,96;6;63
0,2;0,55;207231;0,67;0;-5,85;0,05;144,02;7;63
0,19;0,67;248293,5;0,58;0;-7,48;0,22;118,4;1;63,45
0,02;0,58;140643;0,72;0,75;-5,21;0,03;140;0;63
