danceability;duration_ms;energy;instrumentalness;liveness;loudness;speechiness;tempo;key;popularity
0,49;202093;0,33;0,87;0,11;-17,88;0,06;141,32;2;0
0,58;460914;0,88;0,83;0,61;-6,98;0,05;138;11;7
0,83;366885;0,83;0,79;0,14;-8,51;0,07;122;9;0
0,61;115484;0,94;0,65;0,23;-8,57;0,07;132,99;7;10
0,64;319733;0,68;0,48;0,07;-10,89;0,06;86,97;6;35
0,67;174867;0,74;0;0,1;-7,26;0,33;117,28;10;62
0,74;188721;0,59;0;0,07;-9,05;0,07;130,98;8;0
0,73;208971;0,84;0,01;0,45;-6,61;0,08;129,96;9;0
0,36;157962;0,43;0;0,27;-10,94;0,13;64,38;8;0
0,9;174336;0,39;0;0,14;-12,19;0,44;99,96;1;71
0,8;502518;0,92;0,73;0,06;-8,38;0,06;127,99;10;0
0,55;274107;0,53;0;0,09;-4,71;0,03;127,94;9;31
0,13;96872;0,94;0,99;0,18;-16,08;0,05;82,14;1;72
0,55;165067;0,18;0,94;0,11;-19,3;0,04;114,95;9;0
0,37;238135;0,97;0,73;0,29;-10,37;0,05;140,02;0;0
0,87;161668;0,56;0;0,09;-6,96;0,11;127,95;11;82
0,6;485813;0,48;0;0,19;-13,69;0,83;128,31;7;0
0,8;156960;0,83;0;0,12;-5,36;0,19;124,96;2;81
0,55;268760;0,33;0;0,14;-9,09;0,03;129,36;0;52
0,37;235427;0,31;0,91;0,09;-14,15;0,03;137,83;3;3
0,61;115484;0,94;0,65;0,23;-8,57;0,07;132,99;7;10
0,27;393400;0,39;0,76;0,1;-18,73;0,04;79,66;3;33
0,2;527400;0,19;0,65;0,07;-21,57;0,06;85,88;5;44
0,61;342560;0,28;0,66;0,09;-17,34;0,04;103,7;10;33
0,89;583761;0,56;0,31;0,09;-9,17;0,22;126,99;6;0
0,32;185040;0,04;0,01;0,11;-28,16;0,04;103,7;0;0
0,46;287573;0,41;0;0,31;-6,91;0,03;115,57;6;54
0,73;195827;0,2;0,01;0,26;-12,2;0,07;119;0;0
0,39;241933;0,45;0,9;0,09;-18,25;0,04;130,27;2;1
0,77;175020;0,61;0;0,55;-4,32;0,25;100,16;7;52
0,47;117000;0,36;0;0,17;-17,96;0,04;89,9;10;22
0,57;213402;0,09;0;0,2;-12,91;0,23;141,32;9;0
0,73;259307;0,44;0;0,19;-8,11;0,29;81,03;11;66
0,37;317427;0,62;0;0,82;-5,47;0,03;97,9;7;14
0,43;69562;0,99;0,92;0,55;-5,85;0,06;137,96;0;13
0,88;279680;0,77;0;0,08;-3,45;0,15;98;11;41
0,6;227520;0,74;0;0,21;-8,24;0,1;167,1;0;0
0,88;300133;0,57;0;0,09;-7,57;0,08;96,79;1;42
