danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,key,popularity
0.47,375147,0.78,0,0.21,-4.21,0.04,135.98,1,3
0.63,265427,0.43,0,0.34,-14.34,0.07,152.05,9,43
0.77,185813,0.63,0,0.2,-4.09,0.16,129.07,8,60
0.69,410000,0.89,0.84,0.07,-9,0.05,135,3,0
0.61,219987,0.96,0,0.19,-1.58,0.06,99.07,9,50
0.79,220611,0.27,0,0.09,-17.26,0.09,80.99,8,0
0.74,280779,0.59,0,0.11,-7.58,0.03,95.01,9,24
0.43,268105,0.72,0,0.09,-6.13,0.04,174.01,5,74
0.23,304240,0.51,0.92,0.11,-9.32,0.03,114.26,4,52
0.44,217400,0.78,0,0.07,-4.43,0.04,176.06,6,61
0.71,183293,0.99,0,0.08,-1.09,0.11,106.96,10,24
0.68,247813,0.66,0,0.09,-5.12,0.03,141.93,6,56
0.9,222693,0.64,0,0.1,-12.34,0.15,104.84,1,51
0.63,269133,0.32,0,0.07,-8.83,0.04,119.06,4,56
0.48,215387,0.42,0,0.24,-5.81,0.04,107.22,4,3
0.64,294406,0.61,0,0.1,-7.08,0.05,143.41,10,59
0.47,191000,0.23,0.8,0.11,-11.3,0.05,83.53,10,17
0.78,150858,0.58,0,0.11,-11.7,0.07,132.48,8,21
0.62,245000,0.42,0,0.13,-6.97,0.03,109.36,3,39
0.49,414926,0.74,0,0.19,-7.41,0.06,108.34,11,53
0.5,279613,0.73,0,0.1,-6.98,0.13,87.89,0,51
0.8,225840,0.59,0,0.32,-4.79,0.04,110.81,5,50
0.76,293143,0.85,0.93,0.11,-5.78,0.03,105.01,8,0
0.69,230427,0.71,0.02,0.26,-9.03,0.06,101.66,7,37
0.47,224320,0.93,0,0.33,-4.49,0.05,154.35,9,58
0.52,166253,0.66,0,0.29,-7.56,0.03,124.54,0,51
0.59,228173,0.74,0,0.65,-6.76,0.05,125.82,8,65
0.59,197747,0.51,0,0.11,-6.69,0.06,165.72,8,52
0.8,237956,0.65,0,0.05,-9.51,0.05,137.92,0,46
0.53,372147,0.51,0.59,0.25,-14.45,0.04,117.69,7,43
0.66,162400,0.76,0,0.06,-3.2,0.06,113.57,2,57
0.6,305120,0.4,0,0.7,-9.5,0.1,126.29,0,73
0.53,183413,0.46,0,0.07,-6.44,0.1,179.84,9,46
0.69,159213,0.75,0,0.2,-7.14,0.05,156.05,3,54
0.58,146800,0.09,0,0.14,-23.73,0.04,93.52,3,56
0.74,194429,0.44,0,0.15,-10.47,0.05,104.67,7,45
0.46,286987,0.32,0.03,0.16,-9.89,0.03,105.54,0,51
0.76,163360,0.37,0,0.22,-10.21,0.04,116.07,7,18
0.77,190259,0.71,0,0.17,-5.1,0.04,116.95,7,60
0.42,399160,0.16,0.58,0.09,-16.16,0.05,129.62,1,42
0.77,294067,0.65,0,0.15,-9.09,0.29,138.06,1,43
0.64,293668,0.47,0,0.11,-9.1,0.03,131.98,4,8
