danceability;duration_ms;energy;instrumentalness;liveness;loudness;speechiness;tempo;key;popularity
0.76;295227;0.73;0.06;0.1;-11.82;0.04;118.61;9;med
0.8;198963;0.58;0;0.3;-7.82;0.04;102.11;2;med
0.52;185800;0.89;0;0.08;-2.39;0.05;121.95;8;med
0.74;184453;0.73;0;0.07;-3.5;0.15;87.21;2;med
0.65;182200;0.92;0.62;0.37;-4.54;0.03;108.22;1;med
0.73;336800;0.61;0.79;0.06;-7.02;0.04;95.04;0;med
0.65;339480;0.95;0;0.41;-7.05;0.05;123.18;4;med
0.35;260013;0.54;0;0.1;-8;0.03;104.97;0;med
0.77;201427;0.67;0;0.09;-8.06;0.05;154.9;9;med
0.54;290233;0.98;0.34;0.2;-6.86;0.06;154.47;1;med
0.51;211240;0.25;0;0.11;-10.36;0.03;109.69;2;med
0.55;188012;0.79;0;0.16;-3.3;0.03;150.08;4;high
0.63;219453;0.96;0;0.04;-4.96;0.07;129.7;2;med
0.8;275751;0.55;0.93;0.14;-7.26;0.13;94;11;med
0.7;310560;0.47;0;0.05;-13.57;0.05;138.27;9;med
0.68;134560;0.66;0.01;0.63;-7.4;0.4;123.23;1;med
0.28;234600;0.92;0;0.12;-4.99;0.12;122.55;2;med
0.98;338844;0.57;0.28;0.07;-10.6;0.05;126.91;6;med
0.61;209760;0.8;0;0.43;-4.45;0.04;130.05;5;med
0.58;269973;0.67;0.3;0.08;-11.22;0.03;135.8;9;med
0.56;305520;0.33;0.01;0.13;-12.79;0.03;144.11;4;med
0.42;163515;0.54;0.8;0.17;-13.45;0.05;90.09;7;med
0.36;282813;0.02;0.93;0.1;-28.66;0.04;67.95;3;med
0.77;187720;0.41;0.25;0.05;-15.06;0.04;125.48;5;med
0.94;199432;0.95;0;0.42;-4.22;0.22;110.98;1;med
0.92;245947;0.7;0;0.09;-6.68;0.09;102;4;med
0.8;275667;0.82;0.09;0.33;-8.92;0.05;131.97;6;med
0.78;156502;0.48;0.03;0.1;-9.46;0.08;150.15;11;med
0.91;151520;0.57;0;0.05;-6.11;0.48;140.97;2;high
0.44;185387;0.89;0;0.56;-4.87;0.05;127.89;0;med
